,lat,lon,city,clouds,country,date,humidity,max_temp,wind_sp
149,-28.65,153.62,byron bay,90,AU,1579921248,88,82.99,6.93
150,39.18,-84.53,hamilton,90,US,1579921220,86,42.01,8.55
151,71.92,114.08,saskylakh,100,RU,1579921271,91,-26.66,23.29
152,61.69,53.69,ust-kulom,79,RU,1579921649,99,-3.21,4.23
153,-33.87,121.9,esperance,40,AU,1579921243,53,77.0,2.24
154,30.33,10.85,nalut,100,LY,1579921280,23,54.64,9.31
155,-2.02,147.27,lorengau,9,PG,1579921263,69,83.79,3.44
156,53.75,62.07,komsomolets,4,KZ,1579921649,88,3.27,13.09
157,13.6,26.69,umm kaddadah,33,SD,1579921300,26,49.68,14.54
158,36.62,101.77,xining,0,CN,1579921649,57,18.19,4.81
159,-5.2,-35.46,touros,75,BR,1579921310,88,78.8,8.05
160,-32.5,137.77,port augusta,0,AU,1579921650,50,86.0,10.29
161,-28.47,-65.79,catamarca,77,AR,1579921650,63,87.01,5.01
162,41.14,-73.36,westport,1,US,1579921243,69,42.8,12.75
163,51.65,117.56,shelopugino,0,RU,1579921650,76,5.11,4.25
164,-21.64,-41.05,sao joao da barra,100,BR,1579921292,95,72.19,7.52
165,2.92,73.57,muli,89,MV,1579921650,80,82.15,15.59
166,14.32,2.09,ouallam,0,NE,1579921650,11,68.0,10.71
167,-23.86,35.38,inhambane,15,MZ,1579921650,68,76.12,9.24
168,34.42,-119.7,santa barbara,1,US,1579921628,55,63.0,6.93
169,45.02,-93.22,saint anthony,90,US,1579921308,96,32.0,8.05
170,48.88,-72.45,albanel,20,CA,1579921416,77,3.2,2.24
171,32.44,-111.23,marana,1,US,1579921651,66,60.01,3.36
172,30.22,-90.9,ascension,1,US,1579921651,50,53.01,6.98
173,-33.59,26.89,port alfred,0,ZA,1579921251,92,63.0,2.3
174,47.67,-52.73,torbay,5,CA,1579921252,72,18.0,5.82
175,55.34,-131.65,ketchikan,40,US,1579921432,100,39.2,8.05
176,-13.88,167.55,sola,7,VU,1579921255,77,82.31,14.36
177,18.61,-90.75,escarcega,0,MX,1579921651,98,66.65,2.19
178,-8.93,125.41,airai,100,TL,1579921247,64,81.54,3.91
179,-20.09,-51.09,aparecida do taboado,0,BR,1579921651,90,71.91,4.92
180,60.92,-46.05,narsaq,100,GL,1579921280,79,19.4,6.93
181,-15.77,128.73,kununurra,91,AU,1579921289,70,91.4,5.82
182,-15.89,-52.26,barra do garcas,50,BR,1579921652,95,72.27,5.06
183,69.3,139.9,deputatskiy,1,RU,1579921282,96,-37.97,0.09
184,67.8,130.41,batagay-alyta,0,RU,1579921262,55,-33.56,3.58
185,-34.73,135.87,port lincoln,0,AU,1579921269,48,75.43,3.85
186,-38.55,-58.74,necochea,89,AR,1579921043,93,61.0,3.0
187,-33.7,-53.46,chuy,0,UY,1579921249,87,70.02,11.23
188,9.4,-12.67,kukuna,6,SL,1579921652,71,67.71,2.48
189,-43.25,-65.31,trelew,96,AR,1579921476,33,68.86,31.27
190,51.15,-100.05,dauphin,1,CA,1579921526,92,8.6,6.22
191,9.08,122.95,cabangahan,75,PH,1579921652,83,84.2,9.17
192,37.02,111.91,jiexiu,94,CN,1579921652,86,29.35,3.29
193,40.28,97.2,yumen,0,CN,1579921270,54,22.06,11.41
194,22.24,68.97,dwarka,5,IN,1579921652,47,71.13,8.75
195,73.51,80.55,dikson,100,RU,1579921258,94,-3.32,7.02
196,43.27,-7.54,bereda,74,ES,1579921653,100,45.0,5.82
197,-32.27,150.9,muswellbrook,86,AU,1579921653,64,83.26,8.01
198,-23.7,133.88,alice springs,66,AU,1579921067,19,89.6,12.75
199,18.09,-15.98,nouakchott,100,MR,1579921653,22,69.8,10.29
200,9.52,-79.03,tubuala,20,PA,1579921431,78,77.0,5.82
201,68.05,39.51,ostrovnoy,100,RU,1579921254,88,10.67,4.76
202,-2.47,28.82,kabare,100,CD,1579921653,81,62.24,1.88
203,40.43,71.72,komsomolskiy,90,UZ,1579921306,65,33.8,4.7
204,-10.45,161.92,kirakira,44,SB,1579921653,78,83.26,5.5
205,11.67,92.75,port blair,40,IN,1579921269,83,78.8,6.93
206,43.71,-98.03,mitchell,90,US,1579921621,85,25.0,5.82
207,22.81,115.83,jieshi,100,CN,1579921654,78,70.0,1.99
208,37.46,-122.43,half moon bay,90,US,1579921290,93,60.01,8.05
209,12.06,-61.75,saint-georges,75,GD,1579921654,94,75.2,11.41
210,60.55,-151.26,kenai,1,US,1579921654,71,15.01,15.75
211,-21.15,55.28,saint-leu,100,RE,1579921305,100,77.0,25.28
212,46.41,16.15,ormoz,100,SI,1579921654,92,28.99,4.7
213,62.23,-6.59,klaksvik,100,FO,1579921078,100,44.6,23.04
214,-2.65,10.0,gamba,6,GA,1579921285,87,77.0,2.46
215,35.3,70.83,nuristan,59,AF,1579921654,92,-4.04,5.97
216,58.97,-3.3,stromness,100,GB,1579921654,93,44.6,16.11
217,11.11,125.39,balangiga,0,PH,1579921654,79,81.79,12.77
218,22.18,73.43,dabhoi,40,IN,1579921655,77,59.0,3.36
219,-8.88,147.74,kokoda,100,PG,1579921655,77,71.51,6.15
220,-45.42,167.72,te anau,16,NZ,1579921251,77,64.17,8.03
221,4.92,6.26,yenagoa,8,NG,1579921655,81,71.26,2.15
222,54.73,37.41,zaokskiy,88,RU,1579921655,92,34.5,14.81
223,61.22,-149.9,anchorage,20,US,1579921410,84,6.8,6.85
224,-12.73,-69.18,tambopata,100,PE,1579921246,94,73.35,2.35
225,67.03,14.03,inndyr,75,NO,1579921655,80,34.0,21.92
226,51.55,-9.27,skibbereen,75,IE,1579921283,93,42.8,9.17
227,37.1,-113.58,saint george,1,US,1579921220,57,53.6,4.7
228,-16.02,-49.81,itaberai,100,BR,1579921655,98,68.85,8.41
229,-0.74,-90.35,puerto ayora,23,EC,1579921243,57,77.0,10.31
230,-20.33,-40.29,vila velha,75,BR,1579921656,94,75.2,3.36
231,21.28,-88.93,dzilam gonzalez,100,MX,1579921656,69,73.53,15.7
232,-33.92,25.57,port elizabeth,62,ZA,1579921114,82,68.0,6.93
233,49.63,117.32,zabaykalsk,0,RU,1579921656,80,-2.74,3.58
234,36.76,-90.39,poplar bluff,90,US,1579921656,74,39.2,9.17
235,26.73,86.5,lahan,0,NP,1579921656,60,59.23,0.94
236,-21.55,167.88,tadine,49,NC,1579921656,71,81.73,15.28
237,-5.95,34.13,mgandu,100,TZ,1579921656,94,63.45,0.63
238,52.78,-111.85,killam,100,CA,1579921656,83,27.0,0.65
239,-16.77,31.58,mount darwin,100,ZW,1579921656,94,64.44,2.21
240,-0.61,-47.36,salinopolis,100,BR,1579921289,83,82.49,12.62
241,66.83,70.83,yar-sale,89,RU,1579921279,97,1.85,4.29
242,37.27,-81.22,bluefield,90,US,1579921587,100,46.4,4.09
243,17.15,42.63,sabya,40,SA,1579921657,64,71.6,5.82
244,20.9,70.37,veraval,50,IN,1579921657,38,67.24,9.44
245,21.44,-157.84,ahuimanu,40,US,1579921657,65,80.6,5.82
246,32.57,76.13,chamba,100,IN,1579921657,52,47.57,2.42
247,39.47,3.15,felanitx,40,ES,1579921657,100,52.0,6.93
248,60.72,-46.03,qaqortoq,100,GL,1579921254,79,19.4,6.93
249,40.8,-96.67,lincoln,90,US,1579921021,92,30.2,8.05
250,-37.83,140.77,mount gambier,75,AU,1579921250,56,73.4,16.11
251,5.67,73.0,ugoofaaru,80,MV,1579921657,79,82.13,16.49
252,34.45,40.92,abu kamal,94,SY,1579921657,84,46.38,22.26
253,-33.02,27.91,east london,27,ZA,1579921146,80,75.85,2.13
254,23.7,103.3,kaiyuan,6,CN,1579921658,59,55.18,4.63
255,55.2,80.28,kargat,100,RU,1579921658,95,26.46,17.81
256,-22.67,167.48,vao,38,NC,1579921269,82,77.58,21.14
257,7.92,98.33,kathu,20,TH,1579921658,58,84.2,18.34
258,-9.08,143.21,daru,98,PG,1579921658,51,92.08,5.23
259,-5.67,132.75,tual,47,ID,1579921052,70,84.72,10.25
260,67.45,153.68,srednekolymsk,97,RU,1579921658,95,-35.77,5.21
261,40.61,47.15,yevlax,27,AZ,1579921658,85,21.2,4.7
262,7.77,-72.22,san cristobal,40,VE,1579921302,83,78.8,3.36
263,-2.67,141.3,vanimo,0,PG,1579921139,71,83.66,6.93
264,50.78,121.52,genhe,32,CN,1579921506,91,-7.73,5.17
265,-19.98,57.61,cap malheureux,75,MU,1579921138,100,80.01,18.34
266,32.07,-84.23,americus,1,US,1579921639,50,53.6,8.05
267,-34.65,-59.43,mercedes,0,AR,1579921659,73,80.01,1.99
268,14.9,-24.5,sao filipe,7,CV,1579921263,68,72.12,14.43
269,1.33,172.98,bairiki,20,KI,1579921659,79,86.0,9.17
270,49.75,-77.63,matagami,40,CA,1579921659,92,6.8,2.24
271,49.0,-1.17,manica,90,FR,1579921659,100,35.6,5.82
272,-21.21,-159.78,avarua,80,CK,1579921136,83,82.4,9.17
273,50.65,-102.08,esterhazy,100,CA,1579921659,86,19.31,9.62
274,30.48,-115.95,san quintin,100,MX,1579921659,82,59.79,1.25
275,32.03,51.88,shahreza,0,IR,1579921659,37,26.2,3.78
276,66.94,-53.67,sisimiut,100,GL,1579921660,93,2.28,3.47
277,46.94,19.48,kerekegyhaza,90,HU,1579921660,100,30.0,2.24
278,44.14,17.4,donji vakuf,64,BA,1579921660,93,33.15,6.13
279,68.22,-135.01,aklavik,90,CA,1579921286,76,-4.0,11.41
280,4.88,-1.76,takoradi,55,GH,1579921660,92,77.13,2.89
281,17.02,54.09,salalah,20,OM,1579921252,73,73.4,3.27
282,54.72,158.62,milkovo,100,RU,1579921660,94,5.41,1.99
283,51.15,0.87,ashford,75,GB,1579921648,93,43.0,9.17
284,20.02,95.55,taungdwingyi,95,MM,1579921660,36,68.65,8.1
285,55.17,124.72,tynda,42,RU,1579921660,89,-16.91,0.94
286,52.52,99.83,orlik,100,RU,1579921660,81,4.35,3.56
287,54.28,-0.4,scarborough,53,GB,1579921660,93,44.01,4.7
288,44.1,-70.21,lewiston,90,US,1579921661,92,37.99,5.61
289,37.72,-25.43,vila franca do campo,75,PT,1579921251,67,57.2,5.82
290,-31.95,141.43,broken hill,0,AU,1579921661,20,82.4,12.75
291,60.9,131.96,amga,8,RU,1579921661,95,-30.24,1.3
292,24.69,46.72,riyadh,0,SA,1579921284,43,50.0,4.7
293,-31.43,152.92,port macquarie,44,AU,1579921661,66,91.99,7.99
294,48.01,91.64,hovd,90,MN,1579921661,53,5.05,2.73
295,43.75,-81.72,goderich,100,CA,1579921661,94,39.0,19.1
296,29.03,21.55,jalu,0,LY,1579921661,66,51.26,4.97
297,41.27,-73.32,fairfield,1,US,1579921661,59,41.0,5.82
298,-41.07,145.92,burnie,100,AU,1579921662,81,69.01,8.99
299,22.2,109.94,yashan,100,CN,1579921662,75,66.22,6.08
300,11.27,-73.31,dibulla,38,CO,1579921662,85,78.08,3.51
301,-12.74,-60.15,vilhena,100,BR,1579921258,88,70.99,1.97
302,68.75,161.3,cherskiy,100,RU,1579921259,93,-30.15,3.02
303,57.31,88.17,teguldet,100,RU,1579921286,95,26.46,10.09
304,35.73,140.83,hasaki,75,JP,1579921283,65,50.0,8.05
305,43.73,-87.93,sheboygan,90,US,1579921662,100,34.0,6.89
306,13.35,-15.75,nioro,32,GM,1579921662,29,79.07,5.01
307,20.14,-75.21,guantanamo,40,CU,1579921662,73,75.2,6.08
308,47.89,134.95,khor,0,RU,1579921662,91,-6.07,12.64
309,38.85,-76.88,forestville,90,US,1579921662,75,48.99,6.93
310,-38.88,-62.07,punta alta,100,AR,1579921662,44,71.1,14.56
311,30.37,-88.56,pascagoula,1,US,1579921663,76,52.0,4.81
312,63.84,-22.43,grindavik,90,IS,1579921663,94,32.0,27.51
313,55.28,-114.77,slave lake,75,CA,1579921187,92,23.0,6.93
314,43.9,21.94,bogovina,15,RS,1579921663,68,28.4,5.82
315,22.67,106.25,cao bang,100,VN,1579921663,88,52.59,4.59
316,7.71,81.69,batticaloa,100,LK,1579921663,81,78.57,7.61
317,53.05,158.65,petropavlovsk-kamchatskiy,100,RU,1579921663,62,21.2,4.47
318,9.66,-68.58,san carlos,97,VE,1579921663,62,75.49,2.95
319,10.18,-70.08,carora,92,VE,1579921663,83,70.65,3.71
320,26.15,50.62,sitrah,0,BH,1579921663,71,55.4,7.38
321,-45.75,170.57,waitati,78,NZ,1579921663,86,61.0,11.99
322,54.72,135.31,chumikan,0,RU,1579921403,70,-8.16,16.67
323,-28.77,114.6,geraldton,0,AU,1579921221,48,82.4,17.22
324,7.99,-75.19,caucasia,83,CO,1579921630,93,74.59,4.25
325,-6.47,16.82,kasongo-lunda,100,CD,1579921664,88,70.84,0.87
326,37.48,141.0,namie,75,JP,1579921664,44,46.99,18.34
327,13.21,12.02,maine-soroa,0,NE,1579921664,27,58.95,13.11
328,34.67,138.95,shimoda,75,JP,1579921054,53,51.8,17.22
329,-4.88,-66.9,carauari,100,BR,1579921664,93,71.53,2.95
330,-20.1,146.27,charters towers,99,AU,1579921296,44,92.23,6.22
331,-23.32,-46.22,santa isabel,90,BR,1579921664,93,66.2,5.82
332,49.66,9.0,erbach,90,DE,1579921664,88,34.0,3.36
333,-0.19,-74.78,puerto leguizamo,100,CO,1579921664,91,76.05,1.72
334,18.74,7.39,arlit,55,NE,1579921278,11,65.68,6.06
